Age,Gender,Education (last/ongoing),With whom do you live?,What is your thinking about drug?,With whom do you spend most of your times?,Did you ever fail in your life?,Do you get suicidal thoughts?,How is your family relationship?,What is the financial condition of your family?,How many addicted friends do you have?,Do you have any addicted person in your family?,Are you satisfied with your workplace?,Do you have any case running at court or police station?,Do you live with any drug user?,What can be the factors for using drug?,Have you ever taken drug?,What is the name of the drug you used for the 1st time?,At what age you used drugs for the 1st time?,How often do you use drugs?,What drug do you use currently?,In what occasions do you use drugs?,"If you have a chance, will you taste drug?",Is it easy to control the use of drug?,Why did you start using drugs?,Do you feel guilty after taking drugs?
21,Male,Undergraduate,Family,"Disease, should avoid",Family/Relatives,Yes,No,Very good,Medium,4-Jan,No,Yes,No,No,Teenagers curiosity,No,Never taken,No,"No, I do not",No drug,Do not use,No,Yes,Teenagers curiosity,
22,Male,Undergraduate,Hall/Hostel,Should avoid,Alone,Yes,No,Satisfactory,Medium,4-Jan,No,Yes,No,No,"Teenagers curiosity, Joy-seeking, Access to drugs, Stress relief, Failure in love, Emotionally hurt by others",No,Never taken,Never,"No, I do not",No drug,Do not use,No,No,,
21,Male,Undergraduate,Family,"Disease, should avoid",Family/Relatives,Yes,No,Very good,Medium,4-Jan,No,Yes,No,No,"Teenagers curiosity, Parents’ divorce, Friends offer, Stress relief, Failure in love, Emotionally hurt by others",No,Never taken,No,"No, I do not",No drug,Do not use,No,Yes,"Teenagers curiosity, Failure in love, Emotionally hurt by others",Yes
22,Male,Undergraduate,Family,Should avoid,Friends,Yes,Yes,Very good,Medium,None,No,Yes,No,No,"Low self-confidence, Friends offer, Access to drugs, Low cost of drugs",No,Never taken,,"No, I do not",No drug,Do not use,No,Yes,,
23,Male,Undergraduate,Hall/Hostel,"Social trend, should avoid",Alone,No,No,Very good,Medium,None,No,No,No,Yes,Access to drugs,No,Never taken,,"No, I do not",No drug,Do not use,No,Yes,,
20,Male,Undergraduate,Hall/Hostel,Should avoid,Friends,Yes,No,Average,Medium,More than 5,No,No,No,No,"Teenagers curiosity, Low cost of drugs, Peer pressure, Stress relief, Failure in love, Emotionally hurt by others",No,Cigarette,17,Once a day,Cigarette,Others,Confused,Yes,"Friends offer, Access to drugs, Low cost of drugs, Peer pressure, Stress relief, Failure in love, Emotionally hurt by others",Yes
23,Male,Undergraduate,Friends,Social trend,Friends,Yes,No,Very good,Medium,More than 5,No,No,No,No,"Joy-seeking, Parents’ divorce, Friends offer",Yes,Cigarette,19,Once a day,Cigarette,At parties,Yes,Yes,Friends offer,Yes
,Male,Undergraduate,Hall/Hostel,"Disease, should avoid",Friends,Yes,No,Very good,Medium,4-Jan,Yes,No,No,No,"Having strict parents, Friends offer, Access to drugs, Failure in love",Yes,Cigarette,19,Ocasionally,Cigarette,Social gathering,Confused,No,Friends offer,Yes
25,Male,Undergraduate,Family,"Social trend, should avoid",Family/Relatives,No,No,Very good,Medium,4-Jan,Maybe,Yes,Yes,Yes,"Teenagers curiosity, Low self-confidence, Crowded family, Access to drugs, Failure in love",No,Alcohol,dont know,More than once a day,Cigarette,Before exams,No,Yes,,Sometimes
22,Male,Undergraduate,Family,"Social trend, should avoid",Family/Relatives,Yes,Yes,Very good,Medium,4-Jan,No,Yes,No,No,"Teenagers curiosity, Joy-seeking, Parents’ divorce, Friends offer",No,,,"No, I do not",,,No,Yes,,
22,Male,Undergraduate,Family,Should avoid,Family/Relatives,Yes,No,Very good,Medium,4-Jan,No,Yes,No,No,"Parents’ divorce, Friends offer, Access to drugs, Low cost of drugs, Failure in love, Emotionally hurt by others",No,Never taken,,"No, I do not",No drug,Do not use,No,No,,Yes
22,Female,Undergraduate,Family,"Social trend, should avoid",Family/Relatives,Yes,No,Very good,Medium,None,No,Yes,No,No,"Teenagers curiosity, Parents’ divorce, Having strict parents, Friends offer, Low cost of drugs, Stress relief, Failure in love, Emotionally hurt by others",No,Never taken,,"No, I do not",No drug,Do not use,No,Yes,,
23,Male,Undergraduate,Hall/Hostel,"Disease, should avoid",Friends,Yes,No,Very good,Medium,None,No,Yes,No,No,"Teenagers curiosity, Joy-seeking, Positive attitude toward drug abuse, Friends offer",No,,,"No, I do not",,,No,,,
22,Male,Undergraduate,Relatives,Should avoid,Alone,Yes,No,Average,Medium,4-Jan,No,No,No,No,"Teenagers curiosity, Joy-seeking, Parents’ divorce, Friends offer, Access to drugs, Stress relief, Failure in love",No,Cigarette,,"No, I do not",,At parties,,,,
22,Female,Undergraduate,Hall/Hostel,Should avoid,Family/Relatives,Yes,Yes,Very good,Medium,None,No,Yes,No,No,"Teenagers curiosity, Friends offer, Access to drugs, Low cost of drugs",No,Never taken,,,No drug,Do not use,No,Yes,,
